name,handedness,height,weight,avg,HR,cat
Tom Brown,R,73,170,0.0,0,['poor']
Denny Lemaster,R,73,182,0.13,4,['poor']
Joe Nolan,L,71,175,0.263,27,['excellent']
Denny Doyle,L,69,175,0.25,16,['excellent']
Jose Cardenal,R,70,150,0.275,138,['excellent']
Mike Ryan,R,74,205,0.193,28,['average']
Fritz Peterson,B,72,185,0.159,2,['poor']
Dick Bertell,R,72,200,0.25,10,['good']
Rod Kanehl,R,73,180,0.24100000000000002,6,['good']
Ozzie Osborn,R,74,195,0.0,0,['poor']
John LaRose,L,73,185,0.0,0,['poor']
Jeff Byrd,R,75,195,0.0,0,['poor']
Juan Bonilla,R,69,170,0.256,7,['good']
Frank Tepedino,L,71,185,0.24100000000000002,6,['good']
Jerry Kutzler,L,73,175,0.0,0,['poor']
Rick Wise,R,73,180,0.195,15,['average']
Darrell Evans,L,74,200,0.248,414,['excellent']
Buck Martinez,R,70,190,0.225,58,['average']
John Wockenfuss,R,72,190,0.262,86,['excellent']
Tommy McCraw,L,72,183,0.24600000000000002,75,['excellent']
Jeff Barkley,B,75,185,0.0,0,['poor']
Eric Wilkins,R,73,190,0.0,0,['poor']
Britt Burns,L,77,215,0.0,0,['poor']
Lee Lacy,R,73,175,0.28600000000000003,91,['excellent']
Pete Rose,B,71,192,0.303,160,['excellent']
Danny Walton,R,72,195,0.223,28,['average']
Bobby Cox,R,71,180,0.225,9,['poor']
Brad Wellman,R,72,170,0.231,6,['poor']
Jeff Newman,R,74,215,0.22399999999999998,63,['average']
Pedro Gonzalez,R,72,176,0.244,8,['good']
Nardi Contreras,B,74,193,0.0,0,['poor']
Tommie Reynolds,R,74,190,0.226,12,['poor']
Gene Clines,R,69,170,0.27699999999999997,5,['good']
Jim Hickman,R,75,192,0.252,159,['excellent']
Jack Billingham,R,76,195,0.111,0,['poor']
Jerry Buchek,R,71,185,0.22,22,['average']
Ivan DeJesus,R,71,175,0.254,21,['excellent']
Gary Nolan,R,74,197,0.138,1,['poor']
